men,women,total,year,municipality,mun
23500,21400,21800,2007, Sweden,SE00
24300,22500,22900,2007, Upplands Väsby,SE0114
22700,22500,22500,2007, Vallentuna,SE0115
23500,22200,22400,2007, Österåker,SE0117
24400,22600,23000,2007, Värmdö,SE0120
24200,22600,22900,2007, Järfälla,SE0123
23300,22500,22600,2007, Ekerö,SE0125
24300,22400,22800,2007, Huddinge,SE0126
23900,22300,22600,2007, Botkyrka,SE0127
23900,22500,22800,2007, Salem,SE0128
24400,22500,22900,2007, Haninge,SE0136
24200,22600,23000,2007, Tyresö,SE0138
24200,22300,22700,2007, Upplands-Bro,SE0139
25700,22100,22800,2007, Nykvarn,SE0140
25000,24300,24500,2007, Täby,SE0160
24100,22700,23000,2007, Danderyd,SE0162
24000,23100,23300,2007, Sollentuna,SE0163
24200,23200,23500,2007, Stockholm,SE0180
23500,21900,22200,2007, Södertälje,SE0181
25000,23900,24100,2007, Nacka,SE0182
24000,22900,23100,2007, Sundbyberg,SE0183
24200,23400,23600,2007, Solna,SE0184
23600,23000,23100,2007, Lidingö,SE0186
23000,21900,22100,2007, Vaxholm,SE0187
24700,21600,22200,2007, Norrtälje,SE0188
25000,23200,23600,2007, Sigtuna,SE0191
24800,21900,22400,2007, Nynäshamn,SE0192
24300,21400,22000,2007, Håbo,SE0305
23100,20800,21100,2007, Älvkarleby,SE0319
23700,21600,21900,2007, Knivsta,SE0330
23200,20400,20800,2007, Heby,SE0331
23500,20600,21000,2007, Tierp,SE0360
22600,21300,21700,2007, Uppsala,SE0380
23700,21000,21500,2007, Enköping,SE0381
23400,20000,20500,2007, Östhammar,SE0382
22700,20200,20600,2007, Vingåker,SE0428
23100,21300,21600,2007, Gnesta,SE0461
23600,20900,21500,2007, Nyköping,SE0480
23500,20800,21200,2007, Oxelösund,SE0481
23400,21000,21500,2007, Flen,SE0482
23200,21100,21500,2007, Katrineholm,SE0483
23200,21600,21900,2007, Eskilstuna,SE0484
24200,21400,21900,2007, Strängnäs,SE0486
24700,21700,22100,2007, Trosa,SE0488
23700,20100,20700,2007, Ödeshög,SE0509
23100,20000,20500,2007, Ydre,SE0512
24100,20600,21100,2007, Kinda,SE0513
23700,21200,21600,2007, Boxholm,SE0560
23300,21200,21600,2007, Åtvidaberg,SE0561
23100,20200,20600,2007, Finspång,SE0562
24900,21100,21800,2007, Valdemarsvik,SE0563
23300,21500,21900,2007, Linköping,SE0580
23000,20800,21200,2007, Norrköping,SE0581
23800,21300,21800,2007, Söderköping,SE0582
23400,21200,21700,2007, Motala,SE0583
23900,21200,21700,2007, Vadstena,SE0584
23500,21100,21600,2007, Mjölby,SE0586
24700,20800,21300,2007, Aneby,SE0604
24900,21100,21700,2007, Gnosjö,SE0617
23800,20900,21400,2007, Mullsjö,SE0642
25100,21300,22100,2007, Habo,SE0643
24200,20900,21500,2007, Gislaved,SE0662
23600,20900,21300,2007, Vaggeryd,SE0665
23000,20900,21300,2007, Jönköping,SE0680
23600,20900,21400,2007, Nässjö,SE0682
24900,21600,22200,2007, Värnamo,SE0683
24500,21300,21800,2007, Sävsjö,SE0684
23800,20700,21200,2007, Vetlanda,SE0685
23500,21000,21400,2007, Eksjö,SE0686
23000,20300,20900,2007, Tranås,SE0687
25900,21100,21700,2007, Uppvidinge,SE0760
24100,21200,21600,2007, Lessebo,SE0761
23600,20800,21200,2007, Tingsryd,SE0763
24000,21000,21500,2007, Alvesta,SE0764
24700,20900,21500,2007, Älmhult,SE0765
25400,21200,21900,2007, Markaryd,SE0767
23600,21300,21800,2007, Växjö,SE0780
23700,20900,21400,2007, Ljungby,SE0781
23100,20300,20800,2007, Högsby,SE0821
25100,20800,21500,2007, Torsås,SE0834
22600,20800,21100,2007, Mörbylånga,SE0840
23700,21000,21500,2007, Hultsfred,SE0860
23000,21000,21300,2007, Mönsterås,SE0861
24300,21300,21800,2007, Emmaboda,SE0862
23000,21400,21700,2007, Kalmar,SE0880
23100,21000,21400,2007, Nybro,SE0881
23300,20600,21100,2007, Oskarshamn,SE0882
23200,20500,21000,2007, Västervik,SE0883
23700,20600,21100,2007, Vimmerby,SE0884
23700,21100,21500,2007, Borgholm,SE0885
25600,21800,22700,2007, Gotland,SE0980
25600,20900,21700,2007, Olofström,SE1060
22900,20800,21200,2007, Karlskrona,SE1080
22100,20600,20900,2007, Ronneby,SE1081
23300,21000,21400,2007, Karlshamn,SE1082
23600,20300,20700,2007, Sölvesborg,SE1083
23400,20400,20900,2007, Svalöv,SE1214
24500,22100,22600,2007, Staffanstorp,SE1230
22300,21100,21300,2007, Burlöv,SE1231
24800,23100,23400,2007, Vellinge,SE1233
24600,21200,21700,2007, Östra Göinge,SE1256
24100,20400,20900,2007, Örkelljunga,SE1257
23400,21200,21600,2007, Bjuv,SE1260
